age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.053742399999999996
21,0.053742399999999996
22,0.053742399999999996
23,0.053742399999999996
24,0.053742399999999996
25,0.053742399999999996
26,0.053742399999999996
27,0.053742399999999996
28,0.053742399999999996
29,0.053742399999999996
30,0.053742399999999996
31,0.053742399999999996
32,0.053742399999999996
33,0.053742399999999996
34,0.053742399999999996
35,0.053742399999999996
36,0.053742399999999996
37,0.053742399999999996
38,0.053742399999999996
39,0.053742399999999996
40,0.053742399999999996
41,0.053742399999999996
42,0.053742399999999996
43,0.053742399999999996
44,0.053742399999999996
45,0.053742399999999996
46,0.053742399999999996
47,0.053742399999999996
48,0.053742399999999996
49,0.053742399999999996
50,0.053742399999999996
51,0.053742399999999996
52,0.053742399999999996
53,0.053742399999999996
54,0.053742399999999996
55,0.053742399999999996
56,0.053742399999999996
57,0.053742399999999996
58,0.053742399999999996
59,0.053742399999999996
60,0.053742399999999996
61,0.053742399999999996
62,0.053742399999999996
63,0.053742399999999996
64,0.053742399999999996
65,0.053742399999999996
66,0.053742399999999996
67,0.053742399999999996
68,0.053742399999999996
69,0.053742399999999996
70,0.053742399999999996
71,0.053742399999999996
72,0.053742399999999996
73,0.053742399999999996
74,0.053742399999999996
75,0.053742399999999996
76,0.053742399999999996
77,0.053742399999999996
78,0.053742399999999996
79,0.053742399999999996
80,0.053742399999999996
81,0.053742399999999996
82,0.053742399999999996
83,0.053742399999999996
84,0.053742399999999996
85,0.053742399999999996
86,0.053742399999999996
87,0.053742399999999996
88,0.053742399999999996
89,0.053742399999999996
90,0.053742399999999996
91,0.053742399999999996
92,0.053742399999999996
93,0.053742399999999996
94,0.053742399999999996
95,0.053742399999999996
96,0.053742399999999996
97,0.053742399999999996
98,0.053742399999999996
99,0.053742399999999996
100,0.053742399999999996
101,0.053742399999999996
102,0.053742399999999996
103,0.053742399999999996
104,0.053742399999999996
105,0.053742399999999996
106,0.053742399999999996
107,0.053742399999999996
108,0.053742399999999996
109,0.053742399999999996
110,0.053742399999999996
