delay,tob_prev,interv,popn,year,age,sex,bau_yld_rate.lower,bau_yld_rate.upper,bau_yld_rate.median,bau_yld_rate.mean,yld_rate.lower,yld_rate.upper,yld_rate.median,yld_rate.mean,yld_rate_gain.lower,yld_rate_gain.upper,yld_rate_gain.median,yld_rate_gain.mean,yld_rate_pcnt.lower,yld_rate_pcnt.upper,yld_rate_pcnt.median,yld_rate_pcnt.mean
0,decreasing,erad,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.15779106764063336,0.29404362128673844,0.21285700015894432,0.21636915283444466,-0.017,-0.011,-0.0139,-0.0139,-8.66,-4.21,-6.1,-6.17
0,decreasing,erad,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.16328024636696717,0.2973439495093003,0.21818968742037487,0.2214057521310957,-0.0128,-0.0051,-0.0088,-0.0089,-6.2,-2.13,-3.85,-3.93
0,decreasing,erad,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.10641729438409106,0.22470685446714284,0.15256162221472636,0.15629083087511864,-0.0055,-0.0033,-0.0043,-0.0043,-4.18,-1.75,-2.75,-2.79
0,decreasing,erad,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10830007594896343,0.22601304622128096,0.15461226309072273,0.15811957422697692,-0.0039,-0.0014,-0.0025,-0.0025,-2.75,-0.8,-1.56,-1.61
0,decreasing,tax,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.1702989663087699,0.3055436489262583,0.2253176386138684,0.22877522224795785,-0.0022,-0.0009,-0.0015,-0.0015,-1.07,-0.35,-0.65,-0.66
0,decreasing,tax,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.16826224804371254,0.30221590440610746,0.22310256900581435,0.2265420231272517,-0.006,-0.0019,-0.0036,-0.0037,-2.85,-0.78,-1.6,-1.65
0,decreasing,tax,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.11041548775306476,0.2285494505559024,0.15659870264853526,0.16017430248636946,-0.0007,-0.0003,-0.0004,-0.0005,-0.47,-0.14,-0.28,-0.29
0,decreasing,tax,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.11003908495570698,0.2277398420701589,0.15624628649376004,0.15974755159745735,-0.0014,-0.0004,-0.0009,-0.0009,-1.01,-0.25,-0.55,-0.57
0,decreasing,tfg,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.1715311508921477,0.30685412503359955,0.22677427447071763,0.2302661269328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,decreasing,tfg,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.16328024636696717,0.2973439495093003,0.21818968742037487,0.2214057521310956,-0.0128,-0.0051,-0.0088,-0.0089,-6.2,-2.13,-3.85,-3.93
0,decreasing,tfg,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.11086575958446598,0.22904307818675607,0.15705978181844676,0.16062598272612105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,decreasing,tfg,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10830007594896343,0.22601304622128096,0.15461226309072273,0.15811957422697676,-0.0039,-0.0014,-0.0025,-0.0025,-2.75,-0.8,-1.56,-1.61
20,constant,erad,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.15843179765254398,0.2928074830699985,0.21242106359224394,0.21592785677556636,-0.0169,-0.012,-0.0143,-0.0143,-8.69,-4.46,-6.32,-6.36
20,constant,erad,maori,2061,62,female,0.1715,0.3069,0.2268,0.2303,0.15776756039049453,0.29148917706287136,0.2117563885691669,0.21520500968282508,-0.0185,-0.0119,-0.015,-0.0151,-9.23,-4.56,-6.61,-6.68
20,constant,erad,non-maori,2041,62,male,0.1109,0.229,0.1571,0.1606,0.10603253916368803,0.22417366848990325,0.151829098907364,0.15553009984198213,-0.006,-0.0042,-0.0051,-0.0051,-4.72,-2.14,-3.23,-3.28
20,constant,erad,non-maori,2061,62,male,0.1109,0.229,0.1571,0.1606,0.10599566519541678,0.2237254802747788,0.15193142168974633,0.15550505116488259,-0.0066,-0.0038,-0.0051,-0.0051,-4.91,-2.04,-3.23,-3.3
20,constant,tax,maori,2041,62,female,0.1715,0.3069,0.2268,0.2303,0.1700472032805102,0.3052260885534876,0.22497661831396626,0.22847561895634408,-0.0026,-0.001,-0.0018,-0.0018,-1.26,-0.42,-0.78,-0.79
